Source,Target,Weight,Label (topic #)
dhq-000062,0,0.198388237,0
dhq-000062,31,0.474835641,31
dhq-000062,38,0.14164081,38
dhq-000063,0,0.10718244,0
dhq-000063,14,0.35731827,14
dhq-000063,22,0.166851249,22
dhq-000063,38,0.260182437,38
dhq-000064,33,0.67189981,33
dhq-000064,38,0.14850301,38
dhq-000065,22,0.121615515,22
dhq-000065,32,0.578999139,32
dhq-000065,38,0.157574234,38
dhq-000066,22,0.266653099,22
dhq-000066,34,0.477058017,34
dhq-000066,38,0.181068635,38
dhq-000067,22,0.158367242,22
dhq-000067,30,0.423095802,30
dhq-000067,38,0.19167459,38
dhq-000068,7,0.691397385,7
dhq-000068,22,0.109165554,22
dhq-000068,38,0.14188181,38
dhq-000069,22,0.146545616,22
dhq-000069,28,0.465121636,28
dhq-000069,38,0.16589566,38
dhq-000070,12,0.657455202,12
dhq-000070,38,0.151919097,38
dhq-000071,3,0.424020604,3
dhq-000071,38,0.222785376,38
dhq-000072,16,0.399346289,16
dhq-000072,22,0.162056235,22
dhq-000072,38,0.19814138,38
dhq-000073,36,0.559836652,36
dhq-000073,38,0.128078623,38
dhq-000074,12,0.210314668,12
dhq-000074,22,0.296577905,22
dhq-000074,38,0.220013544,38
dhq-000075,0,0.653881659,0
dhq-000075,38,0.199036181,38
dhq-000076,12,0.404948065,12
dhq-000076,22,0.159203932,22
dhq-000076,37,0.127139915,37
dhq-000076,38,0.127455784,38
dhq-000077,36,0.617557366,36
dhq-000077,38,0.119872622,38
dhq-000078,12,0.339325295,12
dhq-000078,22,0.132989261,22
dhq-000078,36,0.121237179,36
dhq-000078,38,0.216622036,38
dhq-000079,12,0.444775833,12
dhq-000079,32,0.114950713,32
dhq-000079,36,0.114206517,36
dhq-000079,38,0.15548907,38
dhq-000080,22,0.148058132,22
dhq-000080,32,0.485908565,32
dhq-000080,38,0.12816525,38
dhq-000081,0,0.106139481,0
dhq-000081,6,0.530961806,6
dhq-000081,38,0.197198311,38
dhq-000082,8,0.562558938,8
dhq-000082,22,0.112892338,22
dhq-000082,38,0.1709263,38
dhq-000083,32,0.136108876,32
dhq-000083,35,0.45665367,35
dhq-000083,36,0.111776044,36
dhq-000083,38,0.142734539,38
dhq-000084,0,0.104270814,0
dhq-000084,32,0.111832997,32
dhq-000084,36,0.453980766,36
dhq-000084,38,0.107136016,38
dhq-000085,5,0.166771011,5
dhq-000085,22,0.204166026,22
dhq-000085,38,0.273493447,38
dhq-000086,35,0.443099047,35
dhq-000086,38,0.218890534,38
dhq-000087,19,0.45253267,19
dhq-000087,22,0.275130082,22
dhq-000088,31,0.473566804,31
dhq-000088,38,0.236475924,38
dhq-000089,4,0.328641779,4
dhq-000089,33,0.123438671,33
dhq-000089,38,0.32552904,38
dhq-000090,22,0.117231657,22
dhq-000090,32,0.188477727,32
dhq-000090,37,0.436658619,37
dhq-000090,38,0.146995351,38
dhq-000091,22,0.147990428,22
dhq-000091,23,0.629249588,23
dhq-000091,38,0.146218625,38
dhq-000092,2,0.38894742,2
dhq-000092,15,0.117827731,15
dhq-000092,22,0.154729954,22
dhq-000092,38,0.110479103,38
dhq-000092,39,0.122421176,39
dhq-000093,2,0.50227739,2
dhq-000093,22,0.160260592,22
dhq-000093,38,0.134286722,38
dhq-000094,15,0.605693802,15
dhq-000094,22,0.166406322,22
dhq-000094,38,0.123852902,38
dhq-000095,17,0.125920692,17
dhq-000095,22,0.146467281,22
dhq-000095,32,0.16976248,32
dhq-000095,38,0.241138486,38
dhq-000096,17,0.540259862,17
dhq-000096,22,0.156944144,22
dhq-000096,38,0.153106644,38
dhq-000097,15,0.417236419,15
dhq-000097,22,0.205325313,22
dhq-000097,38,0.128285207,38
dhq-000098,22,0.248186066,22
dhq-000098,26,0.492326072,26
dhq-000098,38,0.124271171,38
dhq-000099,19,0.48640877,19
dhq-000099,22,0.218379811,22
dhq-000099,38,0.151879744,38
dhq-000100,22,0.160372108,22
dhq-000100,34,0.170867157,34
dhq-000100,38,0.142046699,38
dhq-000100,39,0.353571073,39
dhq-000101,22,0.198502555,22
dhq-000101,26,0.502636391,26
dhq-000101,38,0.14980478,38
dhq-000102,22,0.234550036,22
dhq-000102,27,0.403941307,27
dhq-000102,38,0.110331504,38
dhq-000103,2,0.285902157,2
dhq-000103,22,0.21283108,22
dhq-000104,1,0.439276017,1
dhq-000104,22,0.14201091,22
dhq-000104,38,0.226759991,38
dhq-000105,1,0.371702772,1
dhq-000105,22,0.281327914,22
dhq-000105,38,0.181474198,38
dhq-000106,14,0.276274847,14
dhq-000106,22,0.190458264,22
dhq-000106,32,0.167445214,32
dhq-000106,38,0.115381197,38
dhq-000107,16,0.310644316,16
dhq-000107,22,0.201894841,22
dhq-000107,32,0.132851186,32
dhq-000107,38,0.164838429,38
dhq-000108,5,0.518211864,5
dhq-000108,22,0.152667047,22
dhq-000108,38,0.156453479,38
dhq-000109,22,0.26225254,22
dhq-000109,38,0.107935913,38
dhq-000109,39,0.109924169,39
dhq-000110,22,0.172759432,22
dhq-000110,27,0.168097441,27
dhq-000110,38,0.124382157,38
dhq-000110,39,0.417735966,39
