Source,Target,Weight,Label
dhq-000009,bennahum1998,2,bennahum1998
dhq-000009,anderson1985,5,anderson1985
dhq-000009,au2002,2,au2002
dhq-000009,keller2007,1,keller2007
dhq-000009,cordella2001,3,cordella2001
dhq-000009,levy1984,4,levy1984
dhq-000009,kraley2004,2,kraley2004
dhq-000009,crowther1977,7,crowther1977
dhq-000009,woods2007,3,woods2007
dhq-000009,mann2004,1,mann2004
dhq-000009,buckles1985,4,buckles1985
dhq-000009,turkle1995,2,turkle1995
dhq-000009,adams2001c,1,adams2001c
dhq-000009,crowther2001,6,crowther2001
dhq-000009,cadre2004,2,cadre2004
dhq-000009,douglass2006,2,douglass2006
dhq-000009,park1994,3,park1994
dhq-000009,raymond1996,3,raymond1996
dhq-000009,oneill1990,3,oneill1990
dhq-000009,cahill2001,3,cahill2001
dhq-000009,crowther1976,40,crowther1976
dhq-000009,woods1998,1,woods1998
dhq-000009,adams2001a,2,adams2001a
dhq-000009,au2000,2,au2000
dhq-000009,lawrence2002,5,lawrence2002
dhq-000009,murray1997,3,murray1997
dhq-000009,gilbert2007,2,gilbert2007
dhq-000009,brucker2005a,3,brucker2005a
dhq-000009,hafner1994,4,hafner1994
dhq-000009,aarseth1997,4,aarseth1997
dhq-000009,howell1990,2,howell1990
dhq-000009,jerz2000,1,jerz2000
dhq-000009,poole2000,4,poole2000
dhq-000009,aarseth2001,2,aarseth2001
dhq-000009,mann2003,2,mann2003
dhq-000009,toomey199x,2,toomey199x
dhq-000009,schwartz1999,2,schwartz1999
dhq-000009,jerz2005,4,jerz2005
dhq-000009,dalenberg2004,2,dalenberg2004
dhq-000009,dibbell2002,2,dibbell2002
dhq-000009,gamespynd,2,gamespynd
dhq-000009,juul2001,1,juul2001
dhq-000009,eskelinen2002,2,eskelinen2002
dhq-000010,downing2000,2,downing2000
dhq-000010,morgan2006,1,morgan2006
dhq-000010,marshall1989,1,marshall1989
dhq-000010,ong2002,3,ong2002
dhq-000010,firth2007,2,firth2007
dhq-000010,eve2004,2,eve2004
dhq-000010,meier1994,2,meier1994
dhq-000010,dollahite2005,2,dollahite2005
dhq-000010,short2007b,2,short2007b
dhq-000010,anderson2006,2,anderson2006
dhq-000010,nelsonnd,1,nelsonnd
dhq-000010,donahue2002,2,donahue2002
dhq-000010,maher2006,3,maher2006
dhq-000010,jerz2001,2,jerz2001
dhq-000010,woods2005,1,woods2005
dhq-000010,vansina1985,2,vansina1985
dhq-000010,nelson1997,2,nelson1997
dhq-000010,short2007a,2,short2007a
dhq-000010,jerz2000b,2,jerz2000b
dhq-000010,coyne2003,2,coyne2003
dhq-000010,jasper2005,1,jasper2005
dhq-000010,nepstad2006b,2,nepstad2006b
dhq-000010,elliott1993,2,elliott1993
dhq-000010,shiovitz2004a,2,shiovitz2004a
dhq-000010,jerz2000a,2,jerz2000a
dhq-000010,lee2006,2,lee2006
dhq-000010,nelson2007,1,nelson2007
dhq-000010,roberts2006,2,roberts2006
dhq-000010,roberts2007c,1,roberts2007c
dhq-000010,nelson2001,8,nelson2001
dhq-000010,eve2005,1,eve2005
dhq-000010,montfort2003b,2,montfort2003b
dhq-000010,lott2004,2,lott2004
dhq-000010,hooker1991,2,hooker1991
dhq-000010,powell2006,2,powell2006
dhq-000010,maher2005,1,maher2005
dhq-000010,eve2002,2,eve2002
dhq-000010,roberts2007b,1,roberts2007b
dhq-000010,shiovitz2004,1,shiovitz2004
dhq-000010,granade2007,2,granade2007
dhq-000010,vaniersel1998,3,vaniersel1998
dhq-000010,moyise2001,2,moyise2001
dhq-000010,brasslantern2007,1,brasslantern2007
dhq-000010,cadre1998,2,cadre1998
dhq-000010,watts2000,2,watts2000
dhq-000010,stevens2001,2,stevens2001
dhq-000010,montfort2003a,8,montfort2003a
dhq-000010,kopteltsev2006,2,kopteltsev2006
dhq-000010,crowther1976,1,crowther1976
dhq-000010,reed2005,2,reed2005
dhq-000010,rhoads1982,2,rhoads1982
dhq-000010,marcus1993,2,marcus1993
dhq-000010,berg2004,1,berg2004
dhq-000010,raif2007,2,raif2007
dhq-000010,bates1997,2,bates1997
dhq-000010,nepstad2006a,2,nepstad2006a
dhq-000010,roberts2007a,1,roberts2007a
dhq-000011,kittler1999,3,kittler1999
dhq-000011,bukatman2003,2,bukatman2003
dhq-000011,marks2000,2,marks2000
dhq-000011,darley2000,2,darley2000
dhq-000011,manovich2001,2,manovich2001
dhq-000011,james1989,2,james1989
dhq-000011,krauss1993,3,krauss1993
dhq-000011,crary1990,2,crary1990
dhq-000011,cae2001,2,cae2001
dhq-000011,willis2005,3,willis2005
dhq-000011,greenwald2004,2,greenwald2004
dhq-000011,enzensberger1974,2,enzensberger1974
dhq-000011,weibel2002,2,weibel2002
dhq-000011,cae2002,2,cae2002
dhq-000011,manovich1999,2,manovich1999
dhq-000011,lunenfeld2000,3,lunenfeld2000
dhq-000011,nichols1991,2,nichols1991
dhq-000012,hoover2004b,2,hoover2004b
dhq-000012,hoover2007,3,hoover2007
dhq-000012,sinclair2003,2,sinclair2003
dhq-000012,faulkner1978,2,faulkner1978
dhq-000012,louw1993,2,louw1993
dhq-000012,fish1980,10,fish1980
dhq-000012,burrows2002a,2,burrows2002a
dhq-000012,cooper1840,2,cooper1840
dhq-000012,golding1955,3,golding1955
dhq-000012,addison1694,2,addison1694
dhq-000012,trillin1998,2,trillin1998
dhq-000012,more1909,2,more1909
dhq-000012,mcgann2004,8,mcgann2004
dhq-000012,hoover1999,2,hoover1999
dhq-000012,swift1726,2,swift1726
dhq-000012,sinclair2004,3,sinclair2004
dhq-000012,bnc2001,1,bnc2001
dhq-000012,shillingsburg2006,1,shillingsburg2006
dhq-000012,burrows2002b,3,burrows2002b
dhq-000012,morris1895,2,morris1895
dhq-000012,hoover2004a,3,hoover2004a
dhq-000012,chomsky1975,4,chomsky1975
dhq-000012,chomsky2000,3,chomsky2000
dhq-000012,sampson2005,4,sampson2005
dhq-000012,boswell1791,2,boswell1791
dhq-000012,bradford,2,bradford
dhq-000012,dickens1858,2,dickens1858
dhq-000012,chomsky1986,2,chomsky1986
dhq-000012,goldfield2006,2,goldfield2006
dhq-000012,halliday1981,1,halliday1981
dhq-000012,pope1715,2,pope1715
dhq-000012,hume1748,2,hume1748
dhq-000012,griffith1896,2,griffith1896
dhq-000012,hoover2006,6,hoover2006
dhq-000012,burrows2007,2,burrows2007
dhq-000012,davies2007,1,davies2007
dhq-000012,bosworth1898,2,bosworth1898
dhq-000012,biber1995,2,biber1995
dhq-000012,hoover2004c,2,hoover2004c
dhq-000012,stubbs1996,2,stubbs1996
dhq-000015,gille1986,3,gille1986
dhq-000015,bush1928,1,bush1928
dhq-000015,stiegler1998,1,stiegler1998
dhq-000015,bush1939,5,bush1939
dhq-000015,bush1945,11,bush1945
dhq-000015,dennett1993,2,dennett1993
dhq-000015,bush1967,6,bush1967
dhq-000015,spar2001,3,spar2001
dhq-000015,meyrowitz1991,2,meyrowitz1991
dhq-000015,nelson1991,3,nelson1991
dhq-000015,bush1933,4,bush1933
dhq-000015,beniger1986,4,beniger1986
dhq-000015,bush1970,15,bush1970
dhq-000015,weaver1950a,2,weaver1950a
dhq-000015,bush1963,1,bush1963
dhq-000015,oren1991,2,oren1991
dhq-000015,nyce1991,32,nyce1991
dhq-000015,shurkin1996,5,shurkin1996
dhq-000015,hayles1993,1,hayles1993
dhq-000015,mindell2000,2,mindell2000
dhq-000015,bush1959,14,bush1959
dhq-000015,vandam1999,3,vandam1999
dhq-000015,burke1991,15,burke1991
dhq-000015,farkas-conn1990,2,farkas-conn1990
dhq-000015,weaver1950,1,weaver1950
dhq-000015,nelson1999,2,nelson1999
dhq-000015,hatt1968,2,hatt1968
dhq-000015,hayles1999,3,hayles1999
dhq-000015,guattari1995,2,guattari1995
dhq-000015,bagg1961,2,bagg1961
dhq-000015,eldredge2004,3,eldredge2004
dhq-000015,owens1991,16,owens1991
dhq-000015,hartree2000,3,hartree2000
dhq-000015,delanda1994,6,delanda1994
dhq-000015,wells1938,2,wells1938
dhq-000015,hazen1940,2,hazen1940
dhq-000015,smith1991,3,smith1991
dhq-000015,ziman2003,2,ziman2003
dhq-000015,ceruzzi1998,6,ceruzzi1998
dhq-000015,edwards1997,2,edwards1997
dhq-000015,engelbart1999,2,engelbart1999
dhq-000015,bush1965,4,bush1965
dhq-000016,rockwell2004,2,rockwell2004
dhq-000016,willinsky2004,2,willinsky2004
dhq-000016,quamen2008,2,quamen2008
dhq-000016,warwick2006,2,warwick2006
dhq-000016,shapiro1996,3,shapiro1996
