Source,Target,Weight,Label (currently just name of target doc)
dhq-000002,dhq-000016,3.79405977,dhq-000016
dhq-000002,dhq-000017,3.510054748,dhq-000017
dhq-000002,dhq-000018,3.031857371,dhq-000018
dhq-000002,dhq-000019,6.498585207,dhq-000019
dhq-000002,dhq-000020,3.212084314,dhq-000020
dhq-000002,dhq-000021,4.710601039,dhq-000021
dhq-000002,dhq-000022,4.564506357,dhq-000022
dhq-000002,dhq-000023,5.490147323,dhq-000023
dhq-000002,dhq-000024,4.622527353,dhq-000024
dhq-000002,dhq-000025,5.434003215,dhq-000025
dhq-000002,dhq-000026,6.135234908,dhq-000026
dhq-000002,dhq-000027,6.31635381,dhq-000027
dhq-000002,dhq-000028,5.492651791,dhq-000028
dhq-000002,dhq-000029,4.641330296,dhq-000029
dhq-000002,dhq-000030,5.525196284,dhq-000030
dhq-000002,dhq-000031,4.39812533,dhq-000031
dhq-000002,dhq-000032,9.194211877,dhq-000032
dhq-000002,dhq-000033,6.564485633,dhq-000033
dhq-000002,dhq-000034,5.286595904,dhq-000034
dhq-000002,dhq-000035,5.467213789,dhq-000035
dhq-000002,dhq-000036,3.595543992,dhq-000036
dhq-000002,dhq-000037,3.950773219,dhq-000037
dhq-000002,dhq-000038,5.650466148,dhq-000038
dhq-000002,dhq-000039,5.772000734,dhq-000039
dhq-000002,dhq-000040,5.34533056,dhq-000040
dhq-000002,dhq-000041,5.599884033,dhq-000041
dhq-000002,dhq-000042,7.263044476,dhq-000042
dhq-000002,dhq-000043,6.576518032,dhq-000043
dhq-000002,dhq-000044,7.097757132,dhq-000044
dhq-000002,dhq-000045,4.63154876,dhq-000045
dhq-000002,dhq-000046,2.027402211,dhq-000046
dhq-000002,dhq-000047,4.854233019,dhq-000047
dhq-000002,dhq-000048,3.397670878,dhq-000048
dhq-000002,dhq-000049,3.771377877,dhq-000049
dhq-000002,dhq-000050,4.640774607,dhq-000050
dhq-000002,dhq-000051,5.313766968,dhq-000051
dhq-000002,dhq-000052,3.825902812,dhq-000052
dhq-000002,dhq-000053,4.964605273,dhq-000053
dhq-000002,dhq-000054,4.828260217,dhq-000054
dhq-000002,dhq-000055,3.982012509,dhq-000055
dhq-000002,dhq-000056,3.904724923,dhq-000056
dhq-000002,dhq-000057,4.622950277,dhq-000057
dhq-000002,dhq-000058,4.2870034,dhq-000058
dhq-000002,dhq-000059,4.133697044,dhq-000059
dhq-000002,dhq-000060,4.215607923,dhq-000060
dhq-000002,dhq-000061,3.88394224,dhq-000061
dhq-000002,dhq-000062,5.369393608,dhq-000062
dhq-000002,dhq-000063,3.454352891,dhq-000063
dhq-000002,dhq-000064,6.901349516,dhq-000064
dhq-000002,dhq-000065,3.42262052,dhq-000065
dhq-000002,dhq-000066,0.393554131,dhq-000066
dhq-000002,dhq-000067,5.536101169,dhq-000067
dhq-000002,dhq-000068,7.072319983,dhq-000068
dhq-000002,dhq-000069,6.22159238,dhq-000069
dhq-000002,dhq-000070,7.213172096,dhq-000070
dhq-000002,dhq-000071,6.170928951,dhq-000071
dhq-000002,dhq-000072,4.714886134,dhq-000072
dhq-000002,dhq-000073,5.765120261,dhq-000073
dhq-000002,dhq-000074,4.36749369,dhq-000074
dhq-000002,dhq-000075,4.25797051,dhq-000075
dhq-000002,dhq-000076,5.570507292,dhq-000076
dhq-000002,dhq-000077,6.018831693,dhq-000077
dhq-000002,dhq-000078,5.45443278,dhq-000078
dhq-000002,dhq-000079,5.772098605,dhq-000079
dhq-000002,dhq-000080,4.545073017,dhq-000080
dhq-000002,dhq-000081,6.024226932,dhq-000081
dhq-000002,dhq-000082,7.112351753,dhq-000082
dhq-000002,dhq-000083,6.223765091,dhq-000083
dhq-000002,dhq-000084,5.067643551,dhq-000084
dhq-000002,dhq-000085,2.515747577,dhq-000085
dhq-000002,dhq-000086,5.841295277,dhq-000086
dhq-000002,dhq-000087,4.192520656,dhq-000087
dhq-000002,dhq-000088,5.624713166,dhq-000088
dhq-000002,dhq-000089,2.715323657,dhq-000089
dhq-000002,dhq-000090,4.674068384,dhq-000090
dhq-000002,dhq-000091,4.839874963,dhq-000091
dhq-000002,dhq-000092,4.750973939,dhq-000092
dhq-000002,dhq-000093,6.337424731,dhq-000093
dhq-000002,dhq-000094,6.595972294,dhq-000094
dhq-000002,dhq-000095,3.573124512,dhq-000095
dhq-000002,dhq-000096,4.946694485,dhq-000096
dhq-000002,dhq-000097,5.495785152,dhq-000097
dhq-000002,dhq-000098,2.396740005,dhq-000098
dhq-000002,dhq-000099,3.810776806,dhq-000099
dhq-000002,dhq-000100,1.330214843,dhq-000100
dhq-000002,dhq-000101,2.745648927,dhq-000101
dhq-000002,dhq-000102,5.377235803,dhq-000102
dhq-000002,dhq-000103,3.032319478,dhq-000103
dhq-000002,dhq-000104,5.77150488,dhq-000104
dhq-000002,dhq-000105,3.963989314,dhq-000105
dhq-000002,dhq-000106,3.684626656,dhq-000106
dhq-000002,dhq-000107,4.428195416,dhq-000107
dhq-000002,dhq-000108,5.79788462,dhq-000108
dhq-000002,dhq-000109,2.838762993,dhq-000109
dhq-000002,dhq-000110,3.076948019,dhq-000110
dhq-000003,dhq-000004,5.701840562,dhq-000004
dhq-000003,dhq-000005,6.700716609,dhq-000005
dhq-000003,dhq-000006,3.00908412,dhq-000006
dhq-000003,dhq-000007,2.734837265,dhq-000007
dhq-000003,dhq-000008,2.716534106,dhq-000008
dhq-000003,dhq-000009,5.382828228,dhq-000009
dhq-000003,dhq-000010,6.098330561,dhq-000010
dhq-000003,dhq-000011,3.435985119,dhq-000011
dhq-000003,dhq-000012,5.600693066,dhq-000012
dhq-000003,dhq-000013,2.792764903,dhq-000013
dhq-000003,dhq-000014,2.774645096,dhq-000014
dhq-000003,dhq-000015,4.408669239,dhq-000015
dhq-000003,dhq-000016,1.935575385,dhq-000016
dhq-000003,dhq-000017,4.659408661,dhq-000017
dhq-000003,dhq-000018,5.081515377,dhq-000018
dhq-000003,dhq-000019,3.307498508,dhq-000019
dhq-000003,dhq-000020,2.149695864,dhq-000020
dhq-000003,dhq-000021,1.446971032,dhq-000021
dhq-000003,dhq-000022,2.190087334,dhq-000022
dhq-000003,dhq-000023,2.360522033,dhq-000023
dhq-000003,dhq-000024,3.24262147,dhq-000024
dhq-000003,dhq-000025,1.265849801,dhq-000025
dhq-000003,dhq-000026,3.925425825,dhq-000026
dhq-000003,dhq-000027,5.424534037,dhq-000027
dhq-000003,dhq-000028,4.032812945,dhq-000028
dhq-000003,dhq-000029,5.177914367,dhq-000029
dhq-000003,dhq-000030,4.920674391,dhq-000030
dhq-000003,dhq-000031,2.968720958,dhq-000031
dhq-000003,dhq-000032,8.722637043,dhq-000032
dhq-000003,dhq-000033,5.907972601,dhq-000033
dhq-000003,dhq-000034,4.527486303,dhq-000034
dhq-000003,dhq-000035,2.466529219,dhq-000035
dhq-000003,dhq-000036,2.378274457,dhq-000036
dhq-000003,dhq-000037,1.681238091,dhq-000037
dhq-000003,dhq-000038,0.467323021,dhq-000038
dhq-000003,dhq-000039,4.882747169,dhq-000039
dhq-000003,dhq-000040,2.289773662,dhq-000040
dhq-000003,dhq-000041,4.876746142,dhq-000041
dhq-000003,dhq-000042,6.76557713,dhq-000042
dhq-000003,dhq-000043,6.243356607,dhq-000043
dhq-000003,dhq-000044,6.567767848,dhq-000044
dhq-000003,dhq-000045,4.561020336,dhq-000045
dhq-000003,dhq-000046,4.357012787,dhq-000046
dhq-000003,dhq-000047,2.265439201,dhq-000047
dhq-000003,dhq-000048,3.927089973,dhq-000048
dhq-000003,dhq-000049,3.28740579,dhq-000049
dhq-000003,dhq-000050,3.158025326,dhq-000050
dhq-000003,dhq-000051,4.007046298,dhq-000051
dhq-000003,dhq-000052,2.187981517,dhq-000052
dhq-000003,dhq-000053,2.566321319,dhq-000053
dhq-000003,dhq-000054,4.233594813,dhq-000054
dhq-000003,dhq-000055,3.387746797,dhq-000055
dhq-000003,dhq-000056,3.784514047,dhq-000056
dhq-000003,dhq-000057,3.292065484,dhq-000057
dhq-000003,dhq-000058,2.990926857,dhq-000058
dhq-000003,dhq-000059,3.476913286,dhq-000059
dhq-000003,dhq-000060,3.357810761,dhq-000060
dhq-000003,dhq-000061,2.538616272,dhq-000061
dhq-000003,dhq-000062,4.466364857,dhq-000062
dhq-000003,dhq-000063,1.395044629,dhq-000063
dhq-000003,dhq-000064,5.5574049,dhq-000064
dhq-000003,dhq-000065,3.316897734,dhq-000065
dhq-000003,dhq-000066,5.62772524,dhq-000066
dhq-000003,dhq-000067,3.940308504,dhq-000067
dhq-000003,dhq-000068,6.562718791,dhq-000068
dhq-000003,dhq-000069,4.743144319,dhq-000069
dhq-000003,dhq-000070,6.146420154,dhq-000070
dhq-000003,dhq-000071,2.948260738,dhq-000071
dhq-000003,dhq-000072,5.045009353,dhq-000072
dhq-000003,dhq-000073,3.048586523,dhq-000073
dhq-000003,dhq-000074,3.743467193,dhq-000074
dhq-000003,dhq-000075,1.994145286,dhq-000075
dhq-000003,dhq-000076,5.771279076,dhq-000076
dhq-000003,dhq-000077,1.580062175,dhq-000077
dhq-000003,dhq-000078,4.758129007,dhq-000078
dhq-000003,dhq-000079,4.861206954,dhq-000079
dhq-000003,dhq-000080,2.950056856,dhq-000080
dhq-000003,dhq-000081,4.340031647,dhq-000081
dhq-000003,dhq-000082,6.869387939,dhq-000082
dhq-000003,dhq-000083,5.123677335,dhq-000083
dhq-000003,dhq-000084,1.378506339,dhq-000084
dhq-000003,dhq-000085,3.591515795,dhq-000085
dhq-000003,dhq-000086,3.210359036,dhq-000086
dhq-000003,dhq-000087,5.421721134,dhq-000087
dhq-000003,dhq-000088,4.873398082,dhq-000088
dhq-000003,dhq-000089,5.177848919,dhq-000089
dhq-000003,dhq-000090,5.453243455,dhq-000090
dhq-000003,dhq-000091,5.018663098,dhq-000091
dhq-000003,dhq-000092,4.694579806,dhq-000092
dhq-000003,dhq-000093,5.42063149,dhq-000093
dhq-000003,dhq-000094,6.331632238,dhq-000094
dhq-000003,dhq-000095,1.768311263,dhq-000095
dhq-000003,dhq-000096,4.558289644,dhq-000096
dhq-000003,dhq-000097,4.791259826,dhq-000097
dhq-000003,dhq-000098,6.167698515,dhq-000098
dhq-000003,dhq-000099,5.080645814,dhq-000099
dhq-000003,dhq-000100,3.142891513,dhq-000100
dhq-000003,dhq-000101,6.382190903,dhq-000101
dhq-000003,dhq-000102,5.123117923,dhq-000102
dhq-000003,dhq-000103,5.381643954,dhq-000103
dhq-000003,dhq-000104,5.304994111,dhq-000104
dhq-000003,dhq-000105,4.970678226,dhq-000105
dhq-000003,dhq-000106,3.621582438,dhq-000106
dhq-000003,dhq-000107,4.460864492,dhq-000107
dhq-000003,dhq-000108,5.354423838,dhq-000108
dhq-000003,dhq-000109,4.085053426,dhq-000109
dhq-000003,dhq-000110,3.355907895,dhq-000110
dhq-000004,dhq-000005,7.118483516,dhq-000005
